_id,Reported Date,Confirmed Negative,Presumptive Negative,Presumptive Positive,Confirmed Positive,Resolved,Deaths,Total Cases,Total patients approved for testing as of Reporting Date,Total tests completed in the last day,Percent positive tests in last day,Under Investigation,Number of patients hospitalized with COVID-19,Number of patients in ICU with COVID-19,Number of patients in ICU on a ventilator with COVID-19,Total Positive LTC Resident Cases,Total Positive LTC HCW Cases,Total LTC Resident Deaths,Total LTC HCW Deaths
209,2020-09-01T00:00:00,,,,1240,38369,2812,42421,2989888,23545,0.7,15748,65,17,5,5937,2643,1815,8
210,2020-09-02T00:00:00,,,,1236,38506,2812,42554,3013892,24004,0.7,18273,60,13,9,5937,2648,1816,8
211,2020-09-03T00:00:00,,,,1249,38625,2812,42686,3040190,26298,0.6,22769,60,12,9,5938,2648,1817,8
212,2020-09-04T00:00:00,,,,1282,38741,2811,42834,3068781,28591,0.7,25945,66,13,8,5946,2649,1817,8
213,2020-09-05T00:00:00,,,,1345,38847,2811,43003,3097453,28672,0.8,23357,58,14,8,5944,2648,1817,8
214,2020-09-06T00:00:00,,,,1390,38958,2813,43161,3126408,28955,0.7,17698,52,15,9,5945,2649,1817,8
215,2020-09-07T00:00:00,,,,1461,39077,2813,43351,3150133,23725,1.0,10540,55,18,8,5951,2648,1817,8
216,2020-09-08T00:00:00,,,,1527,39196,2813,43536,3171062,20929,1.0,8357,54,17,7,5965,2643,1817,8
217,2020-09-09T00:00:00,,,,1540,39332,2813,43685,3188667,17605,1.3,20062,55,15,8,5967,2647,1818,8
218,2020-09-10T00:00:00,,,,1567,39474,2814,43855,3213336,24669,1.0,25850,54,14,9,5966,2647,1817,8
219,2020-09-11T00:00:00,,,,1657,39598,2813,44068,3245837,32501,1.0,31384,49,18,9,5965,2657,1817,8
220,2020-09-12T00:00:00,,,,1769,39717,2814,44300,3281455,35618,1.0,30491,43,12,8,5967,2659,1817,8
221,2020-09-13T00:00:00,,,,1848,39841,2815,44504,3312598,31143,0.9,26765,39,14,9,5974,2661,1818,8
222,2020-09-14T00:00:00,,,,2027,39974,2816,44817,3342138,29540,1.0,19260,47,17,8,5975,2662,1818,8
223,2020-09-15T00:00:00,,,,2157,40091,2820,45068,3369802,27664,1.3,24339,47,19,11,5983,2663,1822,8
224,2020-09-16T00:00:00,,,,2316,40245,2822,45383,3398563,28761,1.2,28346,44,20,12,6006,2666,1824,8
225,2020-09-17T00:00:00,,,,2427,40424,2825,45676,3433697,35134,1.3,37624,53,21,12,6006,2672,1824,8
226,2020-09-18T00:00:00,,,,2652,40600,2825,46077,3469523,35826,1.4,40443,58,20,10,6008,2677,1824,8
227,2020-09-19T00:00:00,,,,2881,40777,2826,46484,3508463,38940,1.3,42778,64,20,10,6006,,1824,7
228,2020-09-20T00:00:00,,,,3054,40968,2827,46849,3548590,40127,1.4,37671,63,23,10,6023,2682,1824,8
229,2020-09-21T00:00:00,,,,3299,41146,2829,47274,3580343,31753,1.5,32489,65,22,12,6024,2683,1825,8
230,2020-09-22T00:00:00,,,,3578,41342,2832,47752,3614544,34201,1.5,39788,82,24,11,6026,2683,1828,8
231,2020-09-23T00:00:00,,,,3652,41600,2835,48087,3649980,35436,1.2,48079,88,24,9,6030,2685,1830,8
232,2020-09-24T00:00:00,,,,3774,41886,2836,48496,3680614,30634,1.0,53840,88,27,11,6043,2690,1829,8
233,2020-09-25T00:00:00,,,,3899,42169,2837,48905,3722479,41865,1.0,65227,87,25,13,6047,2693,1831,8
234,2020-09-26T00:00:00,,,,3996,42507,2837,49340,3765717,43238,1.2,68040,100,28,15,6049,2693,1831,8
